key,value
xv-cursa-muntanya-benassal,XV CURSA MUNTANYA BENASSAL
cross-champagnant,Cross Champagnant
iv-fecha-giro-de-los-rios---lago-ranco,IV Fecha Giro de Los Ríos - Lago Ranco
v-vitobest-tollos-trail,V VITOBEST TOLLOS TRAIL
xxx1x-medio-maraton-armadillo-de-los-infante-y-15k,XXX1X MEDIO MARATON ARMADILLO DE LOS INFANTE Y 15K
towcar-puertos-ribagorza---carretera-6753,TOWCAR PUERTOS RIBAGORZA 2019 - CARRETERA
ix-travessia-platja-casablanca-d-almenara,IX Travessia Platja Casablanca d' Almenara
the-trail-challenge-cr---rincn-de-la-vieja-2019,THE TRAIL CHALLENGE CR - RINCÓN DE LA VIEJA 2019
ii-v-energy-drink-guayre-extreme-vilaflor,2ª 'V Energy Drink' Guayre Extreme Vilaflor
towcar-puertos-ribagorza-2019---btt,TOWCAR PUERTOS RIBAGORZA 2019 - BTT
triatlon-test,TRIATLON TEST
copa-el-reto---iii-fecha-verano-2019,COPA EL RETO - III FECHA VERANO 2019
xxvi-carrera-urbana-ciudad-de-mengibar-2019,XXVI Carrera Urbana Ciudad de Mengibar 2019
v-carrera-nocturna-del-alamillo,V Carrera Nocturna del Alamillo 
39a-volta-a-peu-a-quartell,39a VOLTA A PEU A QUARTELL
vi-carrera-solidaria-alcolea-de-tajo,VI CARRERA SOLIDARIA ALCOLEA DE TAJO
triatlon-luarcasprint-2019,III Triatlón LuarcaSprint 2019
vi-carrera-solidaria-nocturna-aoex---badajoz-2019,VI Carrera Solidaria Nocturna AOEX - Badajoz 2019
vi-carrera-dona-vida,VI Carrera Dona Vida
70ordf-travessia-nedant-de-sitges-2019,70ª TRAVESSIA NEDANT DE SITGES 2019
xvi-carrera-popular-ruta-de-los-iberos-huelma-2019,XVI Carrera Popular Ruta de los Iberos Huelma 2019
corrida-air-summit-2019,Corrida Air Summit 2019
vii-maraton-btt-carmona-la-campana-desert,VII MARATON BTT CARMONA-LA CAMPANA DESERT
xxx-carrera-popular-ciudad-de-getafe-2019,XXX Carrera Popular Ciudad de Getafe 2019
v-carrera-popular-5-10-k-fiestas-de-san-gabriel,V Carrera Popular 5-10 K fiestas de San Gabriel
--1129,Арена Героев
timers-meetup-quito-2019,Timers Meetup Quito 2019
1-bat-mugada-i-7-mugada-2019,1 BAT-MUGADA i 7 MUGADA 2019
39a-cursa-popular-maria-victor,39a Cursa Popular Maria Víctor
edr-2019---entre-duas-rias,EDR 2019 CICLOS ROCA - NOVOMOVIL FERROL
gran-trail-aldeas-do-courel,Gran Trail Aldeas do Courel
fca-10k,FCA 10K
fumpiel-5-y-10k,FUMPIEL 5 Y 10K
xx-carrera-popular-santa-quiteria-fuente-el-fresno,XX CARRERA POPULAR SANTA QUITERIA FUENTE EL FRESNO
xv-carrera-popular-nocturna-de-la-luna-llena-marmolejo-2019,XV Carrera Popular Nocturna de la luna llena Marmolejo 2019
xix-cursa-de-la-festa-major-de-barbera-del-valles,XIX Cursa de la Festa Major de Barberà del Vallès
ii-----,"II Амурский марафон ""Бег к мечте"""
xvi----laquoraquo,XVI открытый региональный веломарафон «КРАССПОРТ»
hero-race-ufa-7751,Гонка Героев Urban
--02062019,Арена Героев 02.06.2019
meetup-15k-ltimas-noticas,Meetup 15K Últimas Noticas
ix-travesia-a-nado-puerto-deportivo-la-galera,IX TRAVESIA A NADO PUERTO DEPORTIVO LA GALERA
infernal-running-prat-actiu-2019,INFERNAL RUNNING PRAT ACTIU 2019
i-carrera-pepinera,I CARRERA PEPINERA
carrera-por-la-igualdad-torrevieja,Carrera por la Igualdad Torrevieja
prueba-geolocalizacion,PRUEBA GEOLOCALIZACION
xi-carrera-sin-humo,XV Carrera Sin Humo
v-trail-de-herreras, V TRAIL DE HERRERÍAS
eau-libre-longueuil,eau libre longueuil
ii-carrera-nocturna-de-el-viso-de-san-juan,II CARRERA NOCTURNA DE EL VISO DE SAN JUAN
runners-por-el-planeta,RUNNERS POR EL PLANETA 
vi-10-k-nocturno-oropesa-del-mar-2019,VI 10 K NOCTURNO OROPESA DEL MAR 2019
prueba-fotometa-sportmaniacs,PRUEBA FOTOMETA SPORTMANIACS
owcr-playa-smara,OWCR PLAYA SÁMARA
--2019-9407,КРАСНОЯРСКАЯ ЧАСОВНЯ 2019
trail-de-la-fontaine-des-anes-2019,TRAIL DE LA FONTAINE DES ANES 2019
endurama-hervs,ENDURAMA HERVÁS
acuatlon-playa-smara-2019,ACUATLON PLAYA SÁMARA 2019
triatlon-cross-de-promocion-de-revenga,Triatlón Cross de promoción de Revenga
i-marcha-mtb-curuetildeo-xtreme,I MARCHA MTB CURUEÑO XTREME 
iii-marcha-btt-nambroca,III MARCHA BTT NAMBROCA
btt-bunyola-jove-2019,BTT BUNYOLA JOVE 2019
campus-llus-mas,CAMPUS LLUÍS MAS
xix-cicloturista-montes-del-norte-la-guancha,XIX CICLOTURISTA MONTES DEL NORTE LA GUANCHA
trzeci-festiwal-biegowy-gminy-skulsk-na-szlaku-wielkiej-ptli-wielkopolski,TRZECI FESTIWAL BIEGOWY GMINY SKULSK NA SZLAKU WIELKIEJ PĘTLI WIELKOPOLSKI
v-fecha-copa-endurance-2019---tarraz,V FECHA COPA ENDURANCE 2019 - TARRAZÚ
ix-media-maratn-por-la-naturaleza,IX MEDIA MARATÓN POR LA NATURALEZA
triatlon-bansander-2019,Triatlón Bansander 2019
carrera-40-de-mayo,CARRERA 40 DE MAYO
carrera-popular-parque-de-mara-luisa-3747,CARRERA POPULAR PARQUE DE MARÍA LUISA
69-travessia-badalona-nedant,69 TRAVESSIA BADALONA NEDANT
trail-des-craquelins,Trail des Craquelins
xxxii-memorial-sargento-de-infanteria-de-marina-carmona-paez,XXXII MEMORIAL SARGENTO DE INFANTERIA DE MARINA CARMONA PAEZ
xxxvi-volta-a-peu-a-la-platja-dacutealmenara,XXXVI VOLTA A PEU A LA PLATJA D´ALMENARA
vi-travesia-a-nado-canal-de-castilla--fromista,VI TRAVESIA A NADO CANAL DE CASTILLA . FROMISTA
enduro-alpe-du-grand-serre-2019,ENDURO ALPE DU GRAND SERRE 2019
can-we-run-zamora-2019,CAN WE RUN ZAMORA 2019
serrabike-vallromanes,SerraBike Vallromanes
swimrun-aix-les-bains,SWIMRUN AIX LES BAINS 2019
x-media-maratn-san-pablo-de-los-montes,X MEDIA MARATÓN SAN PABLO DE LOS MONTES
triatlon-sprint-de-almazan--clasificatorio-cpto-de-espantildea-de-triatlon-y-prueba-autonomica,Triatlon Sprint de Almazan . Clasificatorio Cpto de España de triatlón y prueba autonómica
i-trail-friolero,I Trail Friolero
xx-carrera-popular-rio-tajo-azucaica,XX CARRERA POPULAR RIO TAJO-AZUCAICA
campus-esportiu-estiu-2019-vilaller,CAMPUS ESPORTIU Estiu 2019-VILALLER
carrera-de-la-mujer-de-vitoria-2019,Carrera de la Mujer de Vitoria 2019
caixabank-10k-zaragoza2019,CAIXABANK 10K ZARAGOZA 2019
iv-xc-alt-maestrat-la-mtb-alt-maestrat,"IV XC ALT MAESTRAT LA ""MTB ALT MAESTRAT"""
i-carrera-ciudad-de-valencia-por-la-solicitud-de-un-dia-mundial-para-la-concienciacion-del-tdah-a-la-oms,I Carrera Ciudad de Valencia por la solicitud de un día mundial para la concienciación del TDAH a la OMS
5k10k-beneixama,5K/10K BENEIXAMA
can-we-run-gijon-2019-3211,Can We Run Gijón 2019
i-marcha-cicloturista-meson-cal-pulga-2019,I Marcha Cicloturista Meson Ca'l Pulga 2019
i-amarilla-extrem-irichen-san-miguel-de-abona-2019,I AMARILLA EXTREM IRICHEN SAN MIGUEL DE ABONA 2019
6ordf-travesa-a-nado-alcal,6ª TRAVESÍA A NADO ALCALÁ 
triatlo-cambrils-2019,Triatló Cambrils 2019
la-nocturna-de-fuensalida,LA NOCTURNA DE FUENSALIDA
triatlon-cross-duentildeas-cpto-de-cyl--sprint-y-promocion,Triatlón Cross Dueñas (Cpto de CyL) . Sprint y Promoción
edf-rouen,EDF Rouen
---5401,Гонка Героев Казань
---789,Гонка Героев Самара
triatlon-sprint-ciudad-de-palencia,Triatlón Sprint Ciudad de Palencia
ix-solana-trail-benixama,IX SOLANA TRAIL BENEIXAMA
btt-correosa,BTT Correosa
edp-san-fermin-marathon,EDP San Fermin Marathon 2019
farinato-race-san-sebastian-2019,FARINATO RACE SAN SEBASTIAN 2019
franchvill-trail-2019,franchvill trail 2019
carrera-solidaria-corremos-to2,Carrera Solidaria Corremos TO2
--5298,Цветочный бум
cyclo-la-jpp-9-de-coeur-2019,CYCLO LA JPP 9 DE COEUR 2019
wykus43-2019,Wykus'43 2019
v-bieg-nocy-listopadowej,V Bieg Nocy Listopadowej
cross-country-chaupa-2019,CROSS-COUNTRY CHAŁUPA 2019
du-calle-cach---conquista-paraso,DU CALLE CACHÍ - CONQUISTA PARAÍSO
cross-run-budstol-invest-20192020,Cross  Run Budstol Invest 2019/2020
iii-volta-nadant-castell-de-pentildeiscola,III Volta Nadant Castell de Peñíscola
martxa-btt-y-trail-laumendi-2019,"Martxa  Btt y Trail Laumendi, BARAKALDO 2019"
xix-trofeu-de-ciclisme-en-pista-vila-de-sineu-2019,XIX Trofeu de ciclisme en pista VILA DE SINEU 2019- Trofeu Tallers Miquel
xiv-travesia-a-nado-playa-de-perbes,XIV Travesía a nado Playa de Perbes
xix-trofeu-de-ciclisme-en-pista-vila-de-sineu-2019--trof-aguamar-ndash-sa-cadencia,XIX Trofeu de ciclisme en pista VILA DE SINEU 2019- Trof. Aguamar – Sa Cadència
xii-prueba-los-montes-de-vitoria-2019,"XII Prueba ""Los Montes de Vitoria"" 2019"
viii-carrera-popular-ayuntamiento-de-sena-de-luna,VIII CARRERA POPULAR AYUNTAMIENTO DE SENA DE LUNA
5--10-km-villa-de-cabezon-de-la-sal,5 / 10 Km Villa de Cabezón de la Sal
girona-cycling-festival,Girona Cycling Festival 2019
iii-menasalbas-montes-de-toledo,III MENASALBAS MONTES DE TOLEDO
iii-color-run-festival-melilla,IV COLOR RUN FESTIVAL MELILLA
vuelta-al-lago-ranco,vuelta al lago ranco
hojas-muertas,Hojas Muertas
xix-trofeu-de-ciclisme-en-pista-vila-de-sineu-2019--trofeu-momentrsquos-bar,XIX Trofeu de ciclisme en pista VILA DE SINEU 2019- Trofeu Moment’s Bar
xix-trofeu-de-ciclisme-en-pista-vila-de-sineu-2019--trofeu-bicicletes-caldentey,XIX Trofeu de ciclisme en pista VILA DE SINEU 2019- Trofeu Bicicletes Caldentey
carrera-de-la-mujer-de-gijon-2019,Carrera de la Mujer de Gijón 2019
vi-travessia-platges-de-xilxes,VI Travessia Platges de Xilxes
171-aniversario-nld,171 ANIVERSARIO NLD
xxxi-media-maraton-ciudad-de-valladolid,XXXI Media Maratón Ciudad de Valladolid 
toughman-half-arica-2019-4532,TOUGHMAN Half Arica 2019
xxxii-cross-pentildea-del-aguila,XXXII Cross Peña del Aguila
arica-debutantes-y-kids-2019, TOUGHKIDS SERIES  TRIATHLON ARICA 2019
caisse-a-savon,Caisse a savon (cloud)  v2
xvi-carrera-popular-noche-magica-de-santiago,XVI Carrera Popular Noche Magica de Santiago 2019
test-1206,Test 12/06
cursa-de-bellavista,Cursa de Bellavista
triatlon-sprint-torquemada--cpto-de-cyl,Triatlón Sprint Torquemada . Cpto. de CyL
gran-fondo-500-veracruz-2019,Gran Fondo 500 Veracruz 2019
trail-noturno-monbiketeam-2019,Trail Noturno MONBIKETEAM 2019
carrera-nocturna-creu-roja-vila-real-2019,CARRERA NOCTURNA CREU ROJA VILA-REAL 2019
triatlon-sprint-canal-de-castilla,Triatlón Sprint Canal de Castilla
test-zabeg-pahtakor-15-06-2019,Тест-Забег 15.06.2019
xiii-volta-a-les-fonts-deslida,XIII VOLTA A LES FONTS D'ESLIDA 2019
vi-cxm-sierra-magina,VI CxM SIERRA MAGINA
prueba2-9370,PRUEBA2
i-las-dos-leguas-de-pinto-carrera-benfica-homenaje-a-inma-torres-y-carrera-familiar,I LAS DOS LEGUAS DE PINTO. CARRERA BENÉFICA HOMENAJE A INMA TORRES Y CARRERA FAMILIAR
nocturna-sindicato-de-minas-3-y-10k-2019,Nocturna Sindicato de Minas 3 y 10k 2019
xviii-carrera-barrio-de-zofio,XVIII CARRERA BARRIO DE ZOFIO
travesia-a-nado-farola-del-mar-2019,TRAVESIA A NADO FAROLA DEL MAR 2019
travesa-a-nado-san-juan-de-la-canal-4312,TRAVESIA A NADO SAN JUAN DE LA CANAL
xxii-subida-a-oroel,XXII SUBIDA A OROEL
kv-fuente-de,KM VERTICAL DE FUENTE DÉ
xxii-trofeo-san-pedro-2019,XXII Trofeo San Pedro 2019
rostelecom-hero-race,Rostelecom Hero Race
iv-cxm-nocturna-ag-montes-de-ceuta,IV CXM NOCTURNA AG MONTES DE CEUTA
19-acuatlon-la-caleta-de-interian,ACUATLON LA CALETA 2019
iii-milla-urbana-campo-da-cabana,III MILLA URBANA CAMPO DA CABANA
iii-diablo-race,III DIABLO RACE
mont-dor,Mont d'Or
vii-tabique-trail,VII Tabique Trail
duatlon-sardimar-2019,DUATLON SARDIMAR 2019
mil-pruebas,MIL PRUEBASv
mtb-tres-torres-ugena-iii,MTB Tres Torres Ugena III
cicloturista-cinturn-el-carmen,"CICLOTURISTA CINTURÓN EL CARMEN ""SUSPENDIDA"""
vii-circuito-urban-runn-los-realejos-2019,VII CIRCUITO URBAN RUNN LOS REALEJOS 2019
--3472,Брянский полумарафон
iordm-memorial-sergio-martin-perdomo,Iº MEMORIAL SERGIO MARTIN PERDOMO
xxxiii-carrera-popular-cendejas,XXXIII Carrera Popular Cendejas
v-blind-running,V BLIND RUNNING  ONCE BALEARS 2019
sky-,Sky Бельдерсай
xi-subida-a-san-cristobal,XI SUBIDA A SAN CRISTOBAL 2019
ii-memorial-miquel-pol,II MEMORIAL MIQUEL POL
posidonia-race-2020,POSIDONIA RACE 2020
iii-duatln-de-cobisa,III DUATLÓN DE COBISA
triatlon-de-somo-2019,Triatlón de Somo 2019
iii-carrera-2019-va-por-ti-ana,III CARRERA 2019 VA POR TI ANA
son-moix-estadium-workout,SON MOIX ESTADIUM WORKOUT 
dipcas-trail-kids-vilafames,DIPCAS TRAIL KIDS - Vilafames
cursa-muntanya-de-vistabella,CURSA MUNTANYA DE VISTABELLA
52a-volta-a-peu-al-port-de-sagunt-2019,52a VOLTA A PEU AL PORT DE SAGUNT 2019
triatlon-sprint-de-valladolid,Triatlón Sprint de Valladolid
corre-seguro-5-y-10k,CORRE SEGURO 5 Y 10K
sindicato-nacional-de-trabajadores-general-tire-mexico-5-y-10k,SINDICATO NACIONAL DE TRABAJADORES GENERAL TIRE MEXICO 5 Y 10K
riantildeo-trail-run,Riaño Trail Run
cursa-popular-sant-feliu-de-llubi-2019,Cursa Popular Sant Feliu de Llubi 2019
crono-escalada-13910,Crono Escalada A MAtoscar
volta-popular-la-barona,VOLTA POPULAR LA BARONA
course-national-lac-zima-chamaia,Course National Lac Zima CHAMAIA 2019
course-ain-chaggag-2019,Course AIN CHAGGAG 2019
xxiv-memorial-bernat-vallespir-i-xxxv-memorial-guillem-zuzama,XXIV MEMORIAL BERNAT VALLESPIR I XXXV MEMORIAL GUILLEM ZUZAMA
trail-deawy,TRAIL D'EAWY
i-travessa-autovidal-i-vii-campionat-de-balears-open-aigues-obertes,I Travessa  Autovidal i VII Campionat de Balears OPEN Aigües Obertes.
59ordf-travessia-la-port-de-vinaros,59ª Travessia la Port de Vinaròs
mtb-team-up-2019,MTB TEAM UP 2019
9a-volta-a-peu-a-benifair-de-les-valls-2019,9a VOLTA A PEU A BENIFAIRÓ DE LES VALLS 2019
la-reina-trail-2019,LA REINA TRAIL 2019
carrera-10-aniversario---ecogreen-el-tirol,CARRERA 10 ANIVERSARIO - ECOGREEN EL TIROL
xvii-carrera-urbana-sierra-magina-villa-de-bedmar,XVII Carrera urbana Sierra Magina Villa de Bedmar
---28889,Гонка Героев Челябинск
carrera-popular-santiago-de-villargordo-2019,Carrera Popular Santiago de Villargordo 2019
caballero-negro-prologo,Caballero Negro Prologo
traversee-de-bordeaux-a-la-nage,Traversée de Bordeaux à la nage
caballero-negro-etapa1,Caballero Negro Etapa 1
24h-paddle---vendee-coeur,24h Paddle - Vendée Cœur
caballero-negro-etapa-2,Caballero Negro Etapa 2
caballero-negro-etapa-3,Caballero Negro Etapa 3
caballero-negro-general,Caballero Negro General
----2206,Гонка Героев Санкт-Петербург 22.06
copa-el-reto---iv-fecha-verano-2019,COPA EL RETO - IV FECHA VERANO 2019
vii-carrera-solidaria-tahiche,VII CARRERA SOLIDARIA TAHICHE 2019
hero-race-moscow,Hero Race Moscow 22.06
trail-de-cedres,Trail de cèdres
v-trail-running-san-juan-de-la-rambla-2019,V TRAIL-RUNNING SAN JUAN DE LA RAMBLA 2019
xv-urdutildea-hiria-herri-krosa--cross-popular-ciudad-de-ordutildea,XV URDUÑA HIRIA HERRI KROSA / CROSS POPULAR CIUDAD DE ORDUÑA
infernal-running-azuqueca-2019,INFERNAL RUNNING AZUQUECA 2019
hero-race-moscow-2306,Hero Race Moscow 23.06
carrera-en-forma-por-la-igualdad-tour-universo-mujer-oviedo,Carrera en Forma por la Igualdad. Tour Universo Mujer. Oviedo
run-in-park-2019,RUN IN PARK 2019
vi-carrera-nocturna-villa-de-la-guardia,VI CARRERA NOCTURNA VILLA DE LA GUARDIA
travesia-solidaria-a-nado-semana-grande-de-santander,TRAVESIA SOLIDARIA A NADO SEMANA GRANDE DE SANTANDER
pont-de-brotonne,Pont de Brotonne
5k-mujer-multimedios-2019,5K MUJER MULTIMEDIOS 2019
campionat-de-balears-master-2019,Campionat de Balears Master 2019
15-edition-internationale-de-marche,15 EDITION INTERNATIONALE DE MARCHE
xxxiii-travessia-platges-d-orpesa,XXXIII Travessia Platges d' Orpesa
trofeu-festes-de-sant-cristofol-sarenal-2019,TROFEU FESTES DE SANT CRISTOFOL S'ARENAL 2019
1ordf-carrera-del-corazon-ciudad-de-vigo,1ª Carrera del Corazón Ciudad de Vigo
10-km-castro-urdiales,10 KM CASTRO URDIALES
trail-de-montatildea-samano-2019,TRAIL DE MONTAÑA SAMANO 2019
xxi-volta-a-peu-serra-d-en-galceran,XXI VOLTA A PEU SERRA D EN GALCERAN
corre-media-luna-2019-5-10-y-25k,"CORRE MEDIA LUNA 2019 5, 10 Y 25K"
dipcas-trail-kids---sant-joan-de-moro,DIPCAS TRAIL KIDS - Sant Joan de Moro
trail-des-pierres-dorees-93683,TRAIL DES PIERRES DOREES 
dipcas-trail-kids---alfondeguilla,DIPCAS TRAIL KIDS - Alfondeguilla
audio,Carrera Mundo Audiotech 9 y 6.5K 2019
xterra-mexico-2019,XTERRA MEXICO 2019
cabezuela-bike-tour,Cabezuela Bike Tour
--87111,Красочный забег
viii-cross-de-geldo,VIII Cross de Geldo
xxxv-volta-a-peu-estivella,XXXV Volta a Peu Estivella
desafi-de-guerreros-getxo-2019,DESAFIÓ DE GUERREROS GETXO 2019
vii-carrera-popular-subida-al-castillo-de-almonacid,VII CARRERA POPULAR SUBIDA AL CASTILLO DE ALMONACID
vii-cross-y-paseo-solidario-down-toledo,VII CROSS Y PASEO SOLIDARIO DOWN TOLEDO
edf-toulouse,EDF Toulouse
mtb-la-leyenda---iii-fecha-2019---navarro,MTB LA LEYENDA - III FECHA 2019 - NAVARRO
saron-race,SARON RACE
viii-10k-divina-pastora-alboraya-contra-el-cancer,VIII 10K Divina Pastora Alboraya contra el Cáncer
km-vertical-castro-valnera,KM VERTICAL CASTRO VALNERA
lxxix-trofeu-ciutat-dinca-xxvi-trofeu-jaume-mestre-memorial-pere-bestard,LXXIX TROFEU CIUTAT D'INCA-MEMORIAL PERE BESTARD
i-nocturna-de-ocatildea,I NOCTURNA DE OCAÑA
trofeu-sant-jaume-2019,TROFEU SANT JAUME 2019
1000pruebas,1000Pruebas
xiv-carrera-popular-solidaria-a-favor-sindrome-rett-torralba-2019,XIV CARRERA POPULAR SOLIDARIA A FAVOR SINDROME RETT TORRALBA 2019
serratrail,SERRATRAIL
trail-agadir-oufela-2019,Trail Agadir Oufela 2019
carrera-prueba-91696,carrera prueba
10k-ruta-de-las-iglesias-2019,10K Ruta de las Iglesias 2019
---2906,Гонка Героев Алабино 29.06
iv-carrera-popular-5k-villa-de-luarca,IV CARRERA POPULAR 5K VILLA DE LUARCA
pas-de-gillou,pas de gillou
trail-territori-de-trotalgar,XXXV VOLTA A PEU 8K ALGAR DE PALANCIA Y I TRAIL 16K TERRITORI TROTALGAR 2019
rasines-trail-87824,Rasines Trail
xrace-granada-2019,XRACE GRANADA 2019
acuatlon-de-noja-2019-10050,ACUATLON DE NOJA 2019
v-travesia-casas-del-rey---paredes-de-nava,V TRAVESIA CASAS DEL REY - PAREDES DE NAVA
v-nightrun---contrarreloj-nocturna-via-verde-oropesa-del-mar,V Nightrun - Contrarreloj Nocturna Vía Verde Oropesa del Mar
xx-triple-circuito-buciero,XX Triple Circuito Buciero 
canaleta-trail-2019---argelita,CANALETA TRAIL 2019 - Argelita
vi-10k-nocturno-llangost-vinaros-2019,VI 10K NOCTURNO LLANGOSTÍ VINAROS 2019
triatlon-cross-promocion-y-menores-de-pintildea-de-campos,Triatlón Cross Promoción y Menores de Piña de Campos
xviii-marcha-senderista-y-carrera-por-montatildea-aragon-sur-2019,XVIII MARCHA SENDERISTA Y CARRERA POR MONTAÑA ARAGON SUR 2019
viii-carrera-popular-la-nocturna-temblequetildea,VIII CARRERA POPULAR LA NOCTURNA TEMBLEQUEÑA
festes-patronals-de-santa-margalida-2019,FESTES PATRONALS DE SANTA MARGALIDA 2019
v-travessia-popular-verge-del-carme,V TRAVESSIA POPULAR-VERGE DEL CARME
viii-carrera-mtb-de-villalba-del-rey,VIII CARRERA MTB DE VILLALBA DEL REY
xi-triatlo-popular-portocolom,XI Triatlo Popular Portocolom 2019
mdm-2019,MDM 2019
xvii-volta-a-peu-vila-d-orpesa,XVII Volta a Peu Vila d' Orpesa
xxxv-volta-a-peu-sant-roc-2019,XXXV VOLTA A PEU SANT ROC 2019
prueba-salinas-1,Prueba Salinas 1
triatl-escolar-2019,TRIATLÓ ESCOLAR 2019
xvii-carrera-arroyo-ojanco-nocturna---parque-de-san-francisco,XVII CARRERA ARROYO OJANCO NOCTURNA - PARQUE DE SAN FRANCISCO
triatlon-sprint-astudillo,Triatlón Sprint Astudillo
triatlon-olimpico-y-sprint-sin-draft-aranda-de-duero,Triatlón Olímpico y Sprint sin draft. Aranda de Duero
ii-acuatl-santa-eulria-2019,II ACUATLÓ SANTA EULÀRIA 2019
pandorga-run-2019,PANDORGA RUN 2019
triatlon-eosprint-2019,Triatlón EOSprint 2019
iv-btt-luz-de-luna,IV BTT LUZ DE LUNA
xiii-capovi-nocturna-2019,XIII CAPOVI NOCTURNA 2019
bieg-uliczny-5km---jestem-aktywny-w-ostrzeszowie,BIEG ULICZNY 5km - JESTEM AKTYWNY W OSTRZESZOWIE
iv-enkarterri-extrem-trails,IV Enkarterri Extrem Trails
carrera-santa-ana-prueba-rocio,carrera santa ana prueba rocio
santa-ana-7k,SANTA ANA 7K
7k-santa-anaamancio,7k SANTA ANA'AMANCIO
7k-santa-ana-amancio,7K SANTA ANA AMANCIO
xxi-raid-popular--ix-raid-aventura--iv-woman-raid---playa-de-arinaga-2019,XXI Raid Popular | IX Raid Aventura | IV Woman Raid - Playa de Arinaga 2019
--44324,Женская семерка
xiii-carrera-y-marcha-benfica-apat-de-mazarambroz,XIII CARRERA Y MARCHA BENÉFICA APAT DE MAZARAMBROZ
cursa-capafonts-2019,CURSA CAPAFONTS 2019
xxvi-triatlon-rcna,XXVI TRIATLON RCNA CIUDAD DE ARRECIFE
vii-trail-nw-arenas-de-nueva-umbra,VII TRAIL-NW ARENAS DE NUEVA UMBRÍA
---22337,Триатлон Движение к мечте
carreira-popular-festas-do-monte-2019,CARREIRA POPULAR  FESTAS DO MONTE 2019
v-marcha-btt-duruelo-de-la-sierra,V Marcha BTT Duruelo de la Sierra
iv-btt-santamar,IV BTT SANTAMAR
iv-iv-trail-la-vall-de-sego-2019,IV TRAIL LA VALL DE SEGO 2019
viii-carrera-de-montatildea-de-chovar,VIII CARRERA DE MONTAÑA DE CHOVAR
iv-carrera-solidaria-ruta-091,IV Carrera Solidaria Ruta 091
blue-challenge-2020,BLUE CHALLENGE 2021
endurastur-pola-de-siero-2019-resultados,EndurAstur Pola de Siero 2019 Resultados
kdrtrail---estampida-nocturna,KDRTRAIL - ESTAMPIDA NOCTURNA 2019
the-bay-aquathlon-2025-series,The Bay Aquathlon 2025 Series
course-nature-de-putange,Course Nature de Putanges
corrida-de-lete,Corrida de l'été
triatln-ldquosur-de-cantabriardquo-2019,TRIATLÓN “SUR DE CANTABRIA” 2019
ii-trail-cirat,II TRAIL CIRAT
iv-carrera-popular-blanes-torredonjimeno-tesoro-visigodo,IV CARRERA POPULAR BLANES TORREDONJIMENO TESORO VISIGODO
ultra-de-sierra-nevada,Ultra de Sierra Nevada 
bego,  TRAIL I MARXA 3 CIMS VILAFAMÉS
volta-a-peu-al-castell-d-atzeneta,VOLTA A PEU AL CASTELL D' ATZENETA
triatlon-olimpico-lantadilla--olimpico-y-promocion-cpto-de-cyl-de-triatlon-olimpico,Triatlón Olimpico Lantadilla . Olímpico y Promoción (Cpto. de CyL de Triatlón Olímpico)
triatlon-extremo-los-jales-fresnillo---infantiles,Triatlon Extremo Los Jales Fresnillo -
xii-subida-molinos-de-alcublas-2019,XII SUBIDA MOLINOS DE ALCUBLAS 2019
triatlon-extremo-los-jales-fresnillo---adultos-84591,Triatlon Extremo Los Jales Fresnillo - Adultos
trail-castell-de-serra-2019,TRAIL CASTELL DE SERRA 2019
elements-reis-2019,ELEMENTS REIS 2019
xv-cursa-ibrica,XV CURSA IBÉRICA
--1000,Большой заплыв
goczakowicki-bieg-bdquodla-naszych-dziecirdquo,Goczałkowicki Bieg Charytatywny „Rycerska Dyszka dla Zameczku”
xvi-cross-popular-ldquojose-manuel-garciardquo-celada-2019,XVI  CROSS POPULAR “JOSE MANUEL GARCIA” CELADA 2019
43ordf-volta-a-peu-als-barris-de-sant-marcelmiddotli-i-sant-isidre,43ª Volta a Peu als barris de Sant Marcel·lí i Sant Isidre
maratn-alto-mijares,IV MARATÓN ALTO MIJARES
vi-fecha-copa-endurance-2019---atenas---campeonato-nacional,VI FECHA COPA ENDURANCE 2019 - ATENAS - CAMPEONATO NACIONAL
442-aniversario-saltillo,442 ANIVERSARIO SALTILLO
v-trofeu-cc-la-vileta-gp-ferreria-rafel-miralles,V TROFEU CC LA VILETA-GP FERRERIA RAFEL MIRALLES
xvi-carrera-de-la-ciruela-olas-del-rey,XVI CARRERA DE LA CIRUELA-OLÍAS DEL REY
x-carrera-popular--nocturna-san-agustin-y-marcha,X CARRERA POPULAR- NOCTURNA SAN AGUSTIN Y MARCHA
xxiii-carrera-popular-san-bartolome,XXIII Carrera Popular San Bartolomé
trail-mogrovejo,MOGROVEJO 10K TRAIL
half-marathon-magaluf-2020,Half Marathon Magaluf 2020
ii-marcha-mtb-ldquoyacimiento-carpetanordquo,II MARCHA MTB “YACIMIENTO CARPETANO”
ix-carrera-popular-de-villatobas-ldquonocturnardquo,IX CARRERA POPULAR DE VILLATOBAS “NOCTURNA”
trail-de-la-fleur-du-roy,TRAIL DE LA FLEUR DU ROY
narodowy-bieg-100-lecia-odzyskania-przez-polsk-niepodlegoci-od-batyku-do-tatr,NARODOWY BIEG 100-lecia ODZYSKANIA PRZEZ POLSKĘ NIEPODLEGŁOŚCI OD BAŁTYKU DO TATR
